Country,Year,Quarter,Forex,Population,GDP,Employment,EmploymentA,EmploymentM,EmploymentS,r_star,r,ka_open,bH,w,dGDP,bG,bI,bG_star,Import,Export,ToT,K,CPI_U
Mexico,2012,2,162720.253735134,116.93567,299514.289404114,61.26932,6634.003,11430.63,30999.25,0.3,4.773334,,,,,,883006.491519649,,,,,,
Mexico,2012,3,165589.685491556,116.93567,316368.485719585,61.34829,6589.604,11637.58,30909.39,0.2666667,4.803333,,,,,,944584.16258784,,,,,,
Mexico,2012,4,167049.756531131,116.93567,311930.453567133,60.50697,6725.385,11537.44,30399.32,0.2333333,4.853333,,,,,,1002674.55566669,,,,,,
Mexico,2013,1,171311.408508742,118.453929,324618.770491146,60.44051,6654.383,11498.42,30441.61,0.22,4.723333,,,,,,1066271.93543451,,,,,,
Mexico,2013,2,168901.137255017,118.453929,313901.224331654,60.96329,6654.952,11636.86,31065.21,0.1966667,4.323333,,,,,,1021976.44716009,,,,,,
Mexico,2013,3,175002.307134352,118.453929,325277.12657275,60.74543,6630.622,11829.72,30709.07,0.1233333,4.246666,,,,,,1037259.12227976,,,,,,
Mexico,2013,4,180200.019048727,118.453929,316802.418014206,61.22186,6722.146,12008.99,31057.27,0.1266667,3.85,,,,,,1107287.72591817,,,,,,
Mexico,2014,1,185466.557294996,119.936411,335180.170477275,60.79087,6813.212,11921.3,30581.11,0.1233333,3.803333,,,,,,1124627.14002075,,,,,,
Mexico,2014,2,192538.892169525,119.936411,332668.073983188,60.39946,6740.948,11981.21,30640.84,0.1133333,3.69,,,,,,1178499.89237288,,,,,,
Mexico,2014,3,193331.603871735,119.936411,329271.584833331,60.25869,6738.5,12072.18,30501.85,0.1266667,3.306667,,,,,,1163300.96811886,,,,,,
Mexico,2014,4,195681.630239328,119.936411,297110.303800007,60.18698,6709.532,12130.77,30830.19,0.1333333,3.303333,,,,,,1122504.97315921,,,,,,
Mexico,2015,1,197764.991435319,121.3478,301940.557089608,60.59055,6748.998,12245.01,31048.42,0.15,3.316667,,,,,,1125938.96931858,,,,,,
Mexico,2015,2,194305.512925314,121.3478,284323.351872361,60.53111,6834.701,12413.44,31150.07,0.1533333,3.31,,,,,,1116145.11516166,,,,,,
Mexico,2015,3,181928.693391202,121.3478,288045.253106044,60.61676,6647.155,12613.12,31326.92,0.24,3.343333,,,,,,1081695.00478504,,,,,,
Mexico,2015,4,177596.624348136,121.3478,263189.829379942,61.24641,6744.925,12743.2,31929.36,0.3633333,3.4,,,,,,1074346.12041314,,,,,,
Mexico,2016,1,179708.029502874,122.715165,276062.076624711,60.85795,6665.2,12841.27,31509.97,0.5533333,3.826667,,,,,,1115449.15521705,,,,,,
Mexico,2016,2,178829.97534099,122.715165,268540.935921751,60.89534,6681.068,13022.85,31795.27,0.5566667,4.156667,,,,,,1096558.33421713,,,,,,
Mexico,2016,3,180498.500356046,122.715165,269982.656187693,61.37965,6722.031,13108.44,32057.04,0.7,4.69,,,,,,1092613.5160632,,,,,,
Mexico,2016,4,178024.772283593,122.715165,263165.861124139,61.05947,6772.728,13254.63,31948.5,0.7666667,5.6,,,,,,1061707.15657022,,,,,,
Mexico,2017,1,178703.163572987,124.041731,293938.22414639,61.41798,6585.225,13234.73,32088.03,0.9166667,6.543334,,,,,,1158004.43989437,,,,,,
Mexico,2017,2,175395.090239238,124.041731,304943.215186036,61.1239,6573.648,13330.43,32171.72,1.08,7.096667,,,,,,1189425.50868866,,,,,,
Mexico,2017,3,174887.659208278,124.041731,301488.871437832,61.07983,6606.504,13418.14,32065.77,1.24,7.386667,,,,,,1204114.90007914,,,,,,
Mexico,2017,4,175448.409908893,124.041731,302918.094098287,61.15801,6720.354,13524.99,32284.11,1.373333,7.456666,,,,,,1166217.49907012,,,,,,
Mexico,2018,1,177585.185358804,125.327797,304661.75720578,61.47988,6766.981,13535.43,32184.36,1.83,7.8,,,,,,1225607.13212106,,,,,,
Mexico,2018,2,178005.83427788,125.327797,308675.286355239,61.62178,6609.84,13701.21,32962.44,2.183333,7.923333,,,,,,1199079.99469552,,,,,,
Mexico,2018,3,177036.232298279,125.327797,307480.275940028,61.67852,6658.099,13727.61,32924.91,2.2,8.153334,,,,,,1242821.44969478,,,,,,
Mexico,2018,4,176380.044326515,125.327797,311512.838270596,61.60253,6578.877,13812.92,33184.49,2.54,8.346666,,,,,,1181026.29155157,,,,,,
Mexico,2019,1,182067.002017083,126.577691,318853.006891283,62.09941,6671.606,13671.74,33606.38,2.52,8.57,,,,,,1239762.1455307,,,,,,
Mexico,2019,2,186204.620002325,126.577691,313891.448520174,62.23743,6654.814,13883.12,34078.44,2.403333,8.51,,,,,,1256171.61269558,,,,,,
Mexico,2019,3,182911.135937296,126.577691,325935.229297742,62.33891,6686.907,13898.37,34082.6,2.103333,8.296667,,,,,,1247612.96701998,,,,,,
Mexico,2019,4,183024.25118451,126.577691,308097.465770475,62.38223,6656.949,13793.02,34774.26,1.803333,7.716667,,,,,,1277237.400084,,,,,,
